Region,Place to wash hands,No place to wash hands,Not stated,Number of Households ('000)
Kenya,21.2,78.4,0.4,10453
Rural,13.2,86.5,0.3,5548
Urban,30.2,69.2,0.5,4905
Mombasa,18.6,81.2,0.2,395
Kwale,12.8,87.2,0,99
Kilifi ,17.2,81,1.8,278
Tana River,17.7,82.2,0.1,37
Lamu  ,21.8,78.2,0,27
Taita / Taveta,37.6,62.4,0,101
Garissa ,6.3,92.4,1.3,45
Wajir  ,3.1,96.5,0.4,34
Mandera     ,14.3,85.7,0,55
Marsabit,14.6,85.4,0,30
Isiolo  ,47.9,52.1,0,26
Meru  ,35,65,0,393
Tharaka-Nithi,13.8,86,0.2,106
Embu,15.4,84.4,0.2,163
Kitui  ,11.1,88.6,0.2,204
Machakos,16.2,83.1,0.7,324
Makueni,4.6,95.2,0.2,229
Nyandarua    ,12.1,87.9,0,191
Nyeri  ,20.1,79.9,0,271
Kirinyaga     ,20.6,79.4,0,198
Murang'a     ,8.8,91.2,0,321
Kiambu ,41.1,58.9,0,599
Turkana,18.7,81.3,0,91
West Pokot,3.4,94,2.6,57
Samburu     ,6.8,93.2,0,21
Trans Nzoia,7.2,92.8,0,207
Uasin Gishu,14.3,85.6,0.2,266
Elgeyo / Marakwet,9.9,89.6,0.5,87
Nandi ,10.6,89.4,0,198
Baringo,7.2,92.6,0.2,110
Laikipia ,23.2,76.6,0.2,115
Nakuru ,18.6,81,0.4,574
Narok,7.5,91.1,1.4,154
Kajiado ,30.8,68.2,1,220
Kericho,15.8,84.2,0,200
Bomet      ,8.4,91.3,0.4,169
Kakamega,8.1,91.2,0.7,391
Vihiga      ,15.7,84.3,0,144
Bungoma     ,21.2,77.3,1.5,299
Busia      ,23.5,76.5,0,175
Siaya,22.8,76.9,0.3,236
Kisumu,18.9,81.1,0,276
Homa Bay,17.5,82,0.5,185
Migori      ,5.2,94.8,0,180
Kisii  ,2.7,97,0.3,291
Nyamira     ,5,94.8,0.2,178
Nairobi City,43.6,55.6,0.7,1503