Residence/ County, Zero (In premises), less than 30 minutes, 30 minutes or longer, Not Stated, Number of Households ('000)
National,24,63.4,11.6,0.9,11415
Rural,13.6,68.5,17.5,0.4,6442
Urban,37.5,56.9,4.1,1.5,4972
Mombasa,32.4,56.4,6,5.2,397
Kwale,13.2,69,17.6,0.2,174
Kilifi,28.3,63,6,2.6,326
Tana River,2.4,86.5,11,0.1,56
Lamu,30,59.3,10.2,0.5,30
Taita/ Taveta,10.8,76.2,12.9,0,102
Garissa,15.9,77.8,5.3,1,78
Wajir,23.5,43.9,31.6,1,69
Mandera,16.2,57.9,25,0.8,111
Marsabit,15.1,70.1,14.5,0.3,62
Isiolo,19.9,69.1,11.1,0,34
Meru,24,66.2,9.8,0,393
Tharaka-Nithi,22.3,54.4,22.5,0.7,107
Embu,12.3,67.6,19.9,0.2,164
Kitui,6.8,35.1,57.6,0.5,236
Machakos,33.3,50,15.7,0.9,328
Makueni,15.9,49.6,34,0.5,233
Nyandarua,18.5,77.3,4.2,0.1,191
Nyeri,23.2,75.9,1,0,271
Kirinyaga,14.5,81.5,3.9,0,198
Murang'a,26.4,67.5,6.1,0,323
Kiambu,52.7,45.5,1,0.9,600
Turkana,12.3,44.1,43.5,0,246
West Pokot,7.3,58.3,33.1,1.4,119
Samburu,8.9,50.4,40.7,0,61
Trans Nzoia,11.8,82.9,5.3,0,210
Uasin Gishu,31.8,65.3,2.8,0.2,270
Elgeyo/ Marakwet,6.7,89.8,2.4,1.1,99
Nandi,22.1,76.1,1.6,0.2,202
Baringo,17,51.6,30.9,0.5,152
Laikipia,12.4,72.9,14.5,0.2,135
Nakuru,21.8,72.5,5.3,0.4,578
Narok,28.5,45.5,25,1,223
Kajiado,37.6,51.8,7.6,2.9,250
Kericho,19.7,69,11.3,0,211
Bomet,24.7,67.6,7.1,0.5,179
Kakamega,11.1,85.8,3.1,0,392
Vihiga,4.4,89.4,6.2,0.1,144
Bungoma,6.8,64.5,27.2,1.5,321
Busia,8.4,81,10.6,0,177
Siaya,5.2,83.6,10.8,0.3,246
Kisumu,24.3,72.9,2.8,0,284
Homa Bay,12.4,69.1,18.1,0.4,224
Migori,18.6,56.1,25.3,0,233
Kisii,5.5,76.3,17.8,0.5,291
Nyamira,7,74,18.8,0.2,179
Nairobi City,46.5,50.9,0.4,2.2,1503