Point of Interest,Address of POI,Latitude,Longitude
Boat Terminal,"Shanyonwe, boat terminal,",6.494866703,3.394460147
Boat Terminal,Baale towhe Boat terminal,6.494638452,3.389238615
Boat Terminal,34b Makoko road yaba Lagos,6.495425,3.388235
Boat Terminal,"Ketuwe Boat Terminal, Adogbo I",6.494866018,3.389971448
Boat Terminal,"Boat Maker terminal, Agbogi",6.492225804,3.394344757
Boat Terminal,"56 Makoko, Jesudegbe",6.495338333,3.388226667
Boat Terminal,"Baale towhe, Migbewe I",,
Boat Terminal,Baale Street,,
Boat Terminal,Baale towhe,,
Boat Terminal,"Town hall, Adidokoji",6.494612396,3.394941855
Boat Terminal,"End of Jesudegbetowhe Street, Adogbor I , ",6.495469068,3.390061325
Boat Terminal,34b Makoko road yaba Lagos,6.495425,3.388235
Church,"Celestine Church of Christ, Parish, 34 B, Makoko II ",6.495742188,3.387879231
Church,"St. Andre Du Lac Catholic Church, Makoko II",6.495542125,3.388094557
Church,"Celestial Church of Christ , N0 2 clinic,acts aposts",6.494593333,3.387308333
Church,"Celestial Church, Raimi Street along ita Baale",6.495673333,3.387718333
Church,"Catholic Church, Raimi Street ",6.49568,3.38786
Church,"The Message of Christ into the End time, Azinpono lane, Migbewe 1, Makoko",6.493912675,3.389011743
Church,"Redeem Church, Baale towhe",,
Church,"Union reborn of Men in Christ Bible Church, Baale Shemede area water front, Makoko",6.495575476,3.393575018
Church,"The message of Christ into the end time Church, Migbewe",6.493925,3.389016667
Clean Water Source,"19 raimi Street, Ita Baale.",6.495957773,3.38756684
Clean Water Source,"Migbewe I,",6.494338587,3.388197553
Clean Water Source,Water supply Migbewe 1,6.494318333,3.388383333
Clean Water Source,"Raimi Street, Ita Baale",6.495923333,3.387493333
Clean Water Source,"Baale towhe, Baale Street",6.495343333,3.38808
Clean Water Source,"Baale Aji public water source, Baale Aji house",6.49430654,3.388341442
Clean Water Source,"Dotokpa, water source, close to Baale Shemede Palace",6.495641316,3.392463662
Clean Water Source,"Borehole 52, near Jesudegbe primary school",6.495504607,3.389804754
Clean Water Source,"Migbewe I,",6.493835,3.389155
Clean Water Source,"Jesudegbe bore hole II, Makoko- house of Lagoon",6.495530256,3.390299119
Clean Water Source,"Baale water source, Baale towhe",6.495382131,3.388190602
Clean Water Source,"Balaa Aji house, Migbewe I",6.494241667,3.388535
Factory Industry,"Wood Vendor, Migbewe II",6.493776128,3.390796464
Factory Industry,"Boat Engine Repairer, Baale towhe - Gbomewe Migbwee II",6.494521889,3.38950847
Factory Industry,"Cassava Mill, Migbewe",6.4948691,3.390031633
Factory Industry,"Cassava Mill, Hanvunahoke Street, Adogbo II",6.494243574,3.392122521
Factory Industry,"Bar, Migbewe I",6.494402452,3.388190006
Factory Industry,Tailoring Centre Along Catholic Church,6.495883333,3.387815
Factory Industry,"Baale Street, Baale Towhe",6.495525,3.387943333
Factory Industry,"Dominic Play Station house, Azinpono lane, Migbewhe I, Baale Aji Area, Makoko",6.493976796,3.38894343
Factory Industry,"Hunger Henrieth frozen Foods shop, Zunme water way, near Jesudegbe boat terminal, Makoko",6.495022564,3.390414789
Factory Industry,"Mou dried wood shop, Yansewe water way, Otogaji way, Adogbo II",6.495200219,3.391468227
Factory Industry,"A business centre for charging of phones,",6.495243385,3.393734694
Head of Community,"Togeji, Migbewe",6.494688333,3.38842
Head of Community,The palace can be located through rehimi Street,6.494746667,3.387685
Head of Community,"Baale Emmanuel Shemede Ajakaye palace, water front",6.495642951,3.392267609
Head of Community,"19 raimi Street, Ita Baale",6.49594,3.38751
Head of Community,"Baale jeje palace, Baale towhe",,
Head of Community,"Baale towhe community hall, Baale towhe",,
Head of Community,"Baale Ojuno Luciaan Hunsaclil, Baale of Adogbor III",6.495574513,3.391853375
Head of Community,"Baale Victor Kpanke Palace, Baale of Adogbo 1 Makoko- House of Lagoon, Aliho tohoke Street. Adogbo 1, Makoko",6.495994488,3.388977712
Health Facility,"Minanghan Health Centre, Inside Migbewe II",6.493882978,3.39068976
Health Facility,"Pharmacy store, Migbewe I",6.493868025,3.389099325
Health Facility,"Minangan hospital centre Makoko Water side, Baale towhe",,
Health Facility,"Hope center Church, Baale towhe",6.494675842,3.389081315
Historical Site,"Baale towhe community hall, Baale towhe Mogbewe II",6.495106743,3.388806316
Historical Site,"Community hall, Megbewe I",6.494294386,3.388336664
Market,Habvs,,
Market,"Djebete Bar, Directly opposite the 3rd mainland bridge, Makoko",6.493925499,3.394087488
Market,"Hanvuna Oke spot, Adogbor II water side, Makoko",6.493199752,3.393034805
Market,"Ita Baale, Raimi Street",6.49593,3.387606667
Market,"Let Jadore Bar, Beside Baale Aji palace, Adiko Number 1, Migbewhe I",6.494780788,3.387593776
Market,"Dried Wood Market, Baale towhe",,
Market,"Moyi Dried wood market, Zunto, Agboji",6.494734646,3.394739851
Market,"Tailoring home, school, Yansiwe Godo",6.496286891,3.391922694
Market,"Iyawo Olusho cool spot, boat terminal at Jesusdegbe .",6.495668516,3.38990802
Mosque,"Olountoba Central Mosque, Along Migbewe I, near Baale Aji house, Makoko",6.494559925,3.38807649
Mosque,"Oluwatosin Mosque, Yansiwe, Godo, water front",6.496378714,3.390963469
Mosque,"Mosque, olountooba Street Migbewe 1",6.494525,3.38823
School,"Makoko Dream, Baale towhe",6.495679525,3.388108337
School,"Makoko dream primary school, 36b Makoko road yaba,Baalee towhe",6.49543,3.388195
School,"Doyisem best academy, 32b/35b azinpono lane Migbewe 1",6.494726667,3.387568333
School,"Makoko dreams school, Baale towhe Migbewe II",6.495215,3.388393333
School,"Doyisem Best Academy, Beside Baale Aji Palace, Migbewe 1, Makoko",6.494688964,3.387639038
School,"Makoko dreams school, Inside Celestial Church Compound",6.495481667,3.388021667
School,"Redeem school, Baale towhe",,
School,Whayinna Primary School 56b apolo Makoko yaba Lagos,6.495473333,3.38831
School,"Jesudegbe Nursery and Primary School, 52, Makoko Road, yaba.",6.495603849,3.389902487
Waste Dumpsite,"Baale towhe waste collection point, Migbewe",6.494690662,3.389033978
Waste Dumpsite,"Baale jeje side, Baale towhe",,