County / Sub-County,Conventional Households,"Stand - alone
TURKANA CENTRAL,37917,23.9,4.9,17.6,1.5,8.4,5.2,9.4,6,3.1,0.6,0.3
TURKANA EAST,17887,13.6,0.9,3.4,0.4,1.4,3.3,2.7,0.6,0.7,0.3,0.3
TURKANA NORTH,12964,4.9,0.7,1.9,0.3,1.8,1.2,1.7,0.4,0.4,0.4,0.2
TURKANA SOUTH,24281,10.9,1.7,5.9,0.7,4,5.8,5.8,0.9,1.1,0.5,0.4
TURKANA WEST,44740,7.5,1.7,6,1.2,5.1,4.6,3.1,0.8,0.9,0.5,0.6
WEST POKOT,115761,33.8,1.4,9.7,1,3.5,3.2,5.8,0.6,1.6,0.4,0.3
KIPKOMO,18367,38.6,1.1,8.6,0.8,3.3,2.3,5.8,0.5,1.5,0.4,0.2
POKOT CENTRAL,21784,21.8,0.4,2.5,0.3,1.5,1,3.1,0.1,0.6,0.2,0.3
POKOT NORTH,25736,18.6,0.6,2.9,0.5,2,4.2,5.6,0.1,0.6,0.3,0.3
POKOT SOUTH,13752,55.5,0.5,6.8,0.7,2.5,0.8,4.3,0.1,1.2,0.3,0.2
WEST POKOT,36122,41.1,3.1,20.6,1.9,6.4,5.4,8.1,1.6,3.1,0.6,0.3
SAMBURU,63951,29.4,3.2,13.5,1.7,6.8,5.1,6.5,1.8,2.6,0.6,0.4
SAMBURU CENTRAL,33720,41.8,4.4,18.8,2.7,9.1,7.4,8.4,2.5,3.7,0.7,0.3
SAMBURU EAST,17307,17.3,2.2,9.1,0.7,5.2,2.5,5.2,1.4,1.7,0.4,0.4
SAMBURU NORTH,12924,13.1,1.2,5.6,0.5,2.8,2.4,3.6,0.5,1.1,0.3,0.4
TRANS NZOIA,222989,57.3,4.9,34.3,4.2,11,20.6,12.7,3.7,4.9,0.9,0.4
TRANS NZOIA WEST,47576,52.5,5.1,36.4,3.8,13.7,14.6,10.3,3.4,3.8,0.7,0.3
TRANS NZOIA EAST,49955,60.7,3.2,28.9,3.9,6.1,18.8,12.8,1.9,4.5,0.8,0.3
KWANZA,45599,60.1,4.4,34.6,4.1,10.5,25,14.5,3.3,4.3,0.9,0.3
ENDEBESS,23246,46.5,1.6,18.2,3.1,4.6,14.8,11.6,0.7,1.7,0.5,0.3
KIMININI,56613,60.7,8.1,43.5,5.4,16,26.2,13.6,6.9,7.8,1.1,0.6
UASIN GISHU,301110,60.1,10.1,47.3,5.3,20.4,18.2,10.4,8.3,8.5,1.2,0.3
AINABKOI,34862,64.9,12.4,48.8,5.5,22,16,9.8,11.9,11.5,1.6,0.3
KAPSERET,59678,57.7,14.6,55,6,28.2,18.3,8.8,11.7,10.7,1.3,0.4
KESSES,34623,63,7.7,37.2,3.5,14.5,13.6,9.7,4.7,7.2,1,0.3
MOIBEN,46602,63,11.5,48.2,5,21.4,17.8,11.3,8.2,9.3,1.3,0.4
SOY,53758,57.6,5.2,38,4.5,11.5,23.8,13.2,3.7,5.9,1.1,0.3
TURBO,71587,58.3,9.1,51.4,6.1,21.7,17.6,9.7,9,7.3,1,0.3
ELGEYO/MARAKWET,99119,52.7,2,17.5,1.8,5,3.7,6.9,1.1,3.1,0.7,0.3
KEIYO NORTH,21749,55.5,4.3,28.8,3,9.4,6.2,7.6,2.7,5.2,0.7,0.3
KEIYO SOUTH,26740,62.2,1.9,21.1,2.4,5.3,5.9,7.6,1.1,4,0.8,0.3
MARAKWET EAST,21123,34.5,0.7,5.1,0.5,2,0.5,3.9,0.3,1.2,0.3,0.2
MARAKWET WEST,29507,55,1.4,14.6,1.5,3.6,2.1,7.8,0.5,2.3,0.7,0.2
NANDI,199040,60.3,3.6,27.1,3.1,8.8,10.7,11.1,2.4,4.4,0.6,0.3
CHESUMEI,39011,63,5.5,35.7,3.5,12.5,15.2,11.8,3.9,6.2,0.7,0.3
NANDI CENTRAL,34247,60.7,4.9,33.5,3.6,11.2,11.9,11.7,3.7,5.3,0.7,0.3
NANDI EAST,29249,62,3.6,26.6,2.9,10.7,5.9,9.4,2.3,4.2,0.6,0.2
NANDI NORTH,35257,58.7,2.3,23.6,3.6,6.3,15.9,14.1,1.2,4.1,0.6,0.3
NANDI SOUTH,37038,59.6,2.4,23.4,2.5,5.4,8.2,10,1.6,3.3,0.4,0.3
TINDERET,24238,57,2,15.7,1.7,6,4.2,8.3,0.9,2.2,0.3,0.2
BARINGO,141877,51.8,3.2,23,2.9,8.2,7.1,8.2,1.9,4.1,0.6,0.3
BARINGO CENTRAL,23523,62.2,6.1,33.2,4.4,13.9,3.8,6.3,3.7,6.7,0.7,0.2
BARINGO NORTH,23345,53.9,1.8,16.1,2.2,4.3,3.5,5.9,0.8,2.7,0.3,0.2
EAST POKOT,14392,14.3,1,3.1,0.6,2.1,1.8,3.5,0.3,0.7,0.5,0.5
KOIBATEK,30752,65.5,4.7,39,5.1,13.3,6.4,8.5,3.1,6.5,0.9,0.3
MARIGAT,19658,53.1,2.1,18.4,1.9,6.8,8,11,1.2,2.3,0.4,0.3
MOGOTIO,18169,61.4,3.1,24.6,2.7,7.8,21.5,15.6,2.1,5.2,0.6,0.2
TIATY EAST,12038,20.4,0.7,3.8,0.4,2.1,5,5.3,0.2,1,0.4,0.3
LAIKIPIA,145776,63.3,6.9,44.4,4.7,17.5,21.1,13.3,5.2,6.4,0.9,0.4
LAIKIPIA CENTRAL,29877,72,7.6,53.8,5.4,22.8,24.1,16.2,5.8,8.1,1,0.5
LAIKIPIA EAST,31311,58,10.9,54.2,6.1,24.4,18.2,11.8,10.4,9.1,1,0.5
LAIKIPIA NORTH,7694,34.8,1.8,9.2,0.7,3,3.8,9.9,0.6,2.2,0.5,0.3
LAIKIPIA WEST,32821,58.8,2.6,29.8,2.9,8.2,30.8,15.5,1.4,3.4,0.6,0.3
NYAHURURU,44073,69.6,7.6,48,5.2,18.3,17,11.3,4.9,6.4,0.9,0.3
NAKURU,598237,61.1,9.6,52.5,5.7,20.9,19.1,10.9,8.9,7.1,1,0.4
GILGIL,49405,65.1,9,52.1,6.1,20.5,24.7,12.9,8.7,7.6,1.2,0.4
KURESOI NORTH,40168,61.7,1.8,23.9,3.1,5.3,4.4,9.4,0.6,2.1,0.4,0.3
KURESOI SOUTH,34543,64.2,2.3,18.4,2.3,6.3,3.5,10.5,0.6,3.5,0.6,0.3
MOLO,41439,58.5,5.2,48.4,4.6,13,9.1,11.6,3.6,4.6,0.9,0.3
NAIVASHA,111493,57.9,9,57.9,5.5,23,16.7,9.8,7.6,6.5,1.1,0.4
NAKURU EAST,60066,53.5,23.9,76.2,9.4,46,26.8,7.7,26.6,14.6,1.8,0.7
NAKURU NORTH,61582,67.4,12.4,67.7,7.2,26,31.6,12.8,12.9,9.5,1.5,0.5
NAKURU WEST,64429,57.4,11.4,62,6.9,25.9,19.4,9.7,9.2,6.3,0.8,0.7
NJORO,61156,62.2,5.5,42.5,4.3,12.1,16.6,11.5,3.6,4.2,0.7,0.3
RONGAI,52248,63.8,11.1,47.9,5.8,19.6,28.5,14.1,11,10,1.1,0.3
SUBUKIA,21708,70.6,3.4,43.7,5,8.9,16.5,12.2,2.6,3.7,0.7,0.2
NAROK,238115,59,2.7,19.3,1.8,6.9,3.7,10.7,1.9,3.5,0.6,0.5
NAROK EAST,24860,60.9,1.5,22.5,1.5,4.5,2.9,11.9,1.2,3.4,0.5,0.5
NAROK NORTH,59802,68.7,6.1,36,3.4,14.1,4.7,9.4,5.3,6.1,0.9,0.5
NAROK SOUTH,46549,55.3,1.3,11.9,1.4,3.6,1.7,8.9,0.7,2.6,0.6,0.5
NAROK WEST,37782,52.5,1.6,10.1,1,4.5,2,11.7,0.7,2.9,0.6,0.5
TRANS MARA EAST,20439,47.8,1.3,5.4,0.7,4.3,10,11.9,0.3,1.2,0.4,0.3
TRANS MARA WEST,48683,59.3,2,17,1.6,5.4,3.5,12.2,1.1,2.5,0.4,0.4
MAU FOREST,,,,,,,,,,,,
KAJIADO,313218,55,14.6,51.7,5.6,29.1,11.9,9.7,15.8,10.9,1.2,0.5
ISINYA,71395,58.1,16.3,63,6.8,36.3,12.8,7.7,18.2,12.6,1.5,0.7
KAJIADO CENTRAL,37059,48.5,5.7,33.9,3.1,15.4,8.4,14.6,7.5,6.6,0.9,0.4
KAJIADO NORTH,100908,59.7,26.7,70.1,8.1,46.9,15.5,5.4,27.6,16.2,1.5,0.4
KAJIADO WEST,42367,54.5,7.3,36,3.6,15.2,7.4,8.5,9.3,8.6,1.1,0.5
LOITOKITOK,45581,45,3.1,28.6,3.1,8.9,9.7,15.2,2.8,3.9,0.8,0.7
MASHUURU,15908,56.3,4.3,34,3.3,11.1,12.8,22.5,3.2,5.3,0.9,0.6
KERICHO,205932,60.3,4.7,29.3,2.9,11.1,4.5,8.4,3,4.9,0.7,0.3
BELGUT,34978,64.2,4.9,34.2,2.9,11.4,4.1,8.8,3.3,5.6,0.8,0.2
BURETI,43098,63.6,4.4,29.4,2.8,10.6,6,11.2,2.7,5.4,0.7,0.2
KERICHO EAST,44246,57.6,8.9,39.2,3.7,19.9,5.4,7.8,6.3,7,0.9,0.3
KIPKELION,24676,57.3,1.7,15.4,1.9,5.5,1.5,6.1,0.6,2.2,0.3,0.2
LONDIANI,31739,62.8,3.1,28.2,3.2,7.4,4.7,7.9,1.6,3.8,0.6,0.2
SOIN SIGOWET,27195,54.4,2.4,20.6,2.2,6.3,3.4,7.1,1.7,3.3,0.5,0.3
BOMET,187230,62.1,3.3,18.5,2,8,5.5,12,1.4,3.7,0.5,0.3
BOMET EAST,29897,60.2,2,13.3,1.5,5,2.8,10.1,0.7,2.4,0.5,0.3
CHEPALUNGU,33850,60,1.9,10.4,1.2,4.6,10.5,13.9,0.4,1.8,0.5,0.2
KONOIN,38123,64.1,3,22.1,2.3,7.3,4,11.1,1.5,4.3,0.5,0.4
SOTIK,47265,62.1,3.8,19.9,2.3,9.8,5.9,11.7,1.9,4.2,0.5,0.3
BOMET CENTRAL,38095,63.5,5.3,24.2,2.5,11.7,3.9,13.3,2.2,5.1,0.6,0.3
KAKAMEGA,432284,62,4.3,29.2,4.3,8.6,24.4,11.5,3.3,3.3,0.6,0.4
BUTERE,36243,62.4,2.8,25.5,3.6,6.2,24.4,10.7,2,2.1,0.6,0.3
KAKAMEGA CENTRAL,51956,57.7,13.6,45.9,5.4,24.1,17.3,11,11,7.1,0.9,0.7
KAKAMEGA EAST,39589,64.6,3.1,30,4.7,7.1,19.2,10.6,2.5,2.8,0.5,0.4
KAKAMEGA NORTH,50952,66.4,2.9,25.7,5.7,6.8,30.7,12.4,1.7,2.6,0.5,0.4
KAKAMEGA SOUTH,26940,60.9,2.7,27.4,2.9,6.1,14.6,9.1,2.3,2.6,0.4,0.3
KHWISERO,27681,62.8,2.7,25,3.9,5.7,23.8,10.3,2,2.5,0.6,0.4
LIKUYANI,34776,65.8,3.8,35.2,3.9,7.5,27.5,13.1,2.9,4.3,0.8,0.3
LUGARI,27817,67.9,3.2,31,4.6,7.7,23.7,12.6,2.3,3.4,0.6,0.3
MATETE,13956,64.8,2.7,24,4.4,4.9,26.6,10.8,1.1,2.1,0.6,0.4
MATUNGU,36414,56.8,2.1,20.6,3.3,4.5,31.9,12.2,1.5,2.1,0.7,0.4
MUMIAS EAST,25995,54.7,3,24.2,3.7,6.4,24.2,12.5,2.2,2.7,0.6,0.5
MUMIAS WEST,27650,58.9,4.9,32.2,3.7,8.8,23.8,10.7,5.3,4.2,0.6,0.3
NAVAKHOLO,32315,62.8,2.4,21.5,4.8,5.8,29.5,13.1,1.2,1.9,0.4,0.4
VIHIGA,143288,61.6,4.3,31.2,4.2,8.8,11.5,7.8,3.6,3,0.5,0.3
EMUHAYA,23803,63.7,2.9,23.9,4,7.7,16,7.7,2,2,0.4,0.2
VIHIGA,23359,63.1,5.3,31.9,4.3,10.7,9.1,7.1,4.7,3.6,0.5,0.3
SABATIA,31391,64,5,36.5,4,9.8,10.9,8.3,4.1,3.7,0.6,0.3
LUANDA,26766,62.3,4.1,29.5,4,9.2,12.7,7.1,3.6,2.4,0.6,0.3
HAMISI,37965,56.8,4,32.2,4.5,7.2,9.7,8.2,3.3,3.1,0.5,0.3
KAKAMEGA FOREST,4,25,25,,,,,25,,25,,
BUNGOMA,357714,62.1,4.1,25.4,3.6,7.2,26.2,11.9,2.8,3.1,0.6,0.4
BUMULA,44922,60.3,1.9,17,2.6,3.2,30.4,11.5,1,1.7,0.6,0.4
BUNGOMA CENTRAL,37535,65.3,3.2,24.6,3.7,5,32.6,13.3,1.7,2.6,0.6,0.4
BUNGOMA EAST,24798,65.5,4.2,30.3,4.5,9.1,25.9,13.4,3.1,3.3,0.5,0.3
BUNGOMA NORTH,24940,67.1,3.1,27.1,5.2,5.6,28.1,15.3,1.6,3.3,0.7,0.3
BUNGOMA SOUTH,69088,62.6,8.5,36.9,4,14,26.3,12,7.1,5.4,1,0.6
CHEPTAIS,26007,49.9,1.2,9.8,1.1,2.8,4.7,5,0.4,0.9,0.3,0.3
KIMILILI,35053,63.9,3.8,27.5,3.2,6.3,25.8,12,2.5,3.1,0.7,0.4
MT. ELGON,15230,52.6,2,15.5,1.6,5.4,6.1,6.8,0.8,1.6,0.4,0.2
BUNGOMA WEST,25166,62.1,2.1,16.5,2.5,4.4,26.3,10.9,1.2,1.6,0.5,0.4
TONGAREN,21343,63,3.1,27.3,5.1,6,31.3,15.5,1.6,3.9,0.5,0.3
WEBUYE WEST,32834,65.1,5.2,29.1,4.9,9.5,35.5,13.6,3.8,3.7,0.6,0.3
MT. ELGON FOREST,798,39.1,0.3,1.6,0.1,0.4,0.3,2.3,0.1,0.3,0.3,0.3
BUSIA,197944,54.5,3.7,27.2,3.8,7.4,34.3,11.8,3.7,2.9,0.6,0.3
BUNYALA,19028,46.1,3.5,28.3,5.2,7.8,34.7,10.2,2.9,2.2,0.5,0.3
BUSIA,33152,57.5,5.2,38.1,4.5,11.7,35.2,13,6.9,4.2,0.9,0.3
BUTULA,32199,59.8,2.5,22.9,3.4,4.9,35.4,10.6,2.1,2.3,0.6,0.4
NAMBALE,23889,56.4,3.2,25.8,4,4.5,37.2,12.1,2.6,2.8,0.7,0.3
SAMIA,23813,55,3.2,25.5,4.1,8.9,38.8,13.1,3.1,2.7,0.6,0.3
TESO NORTH,29314,51.7,3.6,22.5,2.9,7.4,26.4,11.3,3.3,2.6,0.5,0.3
TESO SOUTH,36549,52.4,4.4,26.2,3.1,6.6,33.6,12,4.3,3,0.6,0.3
SIAYA,249341,65.5,4.2,28.3,3.8,8.3,32.7,11.8,4,2.9,0.6,0.4
SIAYA,57386,63.6,4.9,28,3.7,8.8,38.7,13.2,4.5,3.2,0.6,0.4
GEM,44696,66.6,3.6,26.6,4,7.6,25.3,9.8,3.7,2.7,0.5,0.4
UGENYA,33554,65.2,3.1,25.1,3.2,6.2,37.8,11.1,2.8,2.5,0.5,0.4
UGUNJA,26321,63.5,4.3,30.3,4.5,8.7,30.2,10.8,4.7,3.3,0.9,0.3
BONDO,50454,66,5.2,32.2,4.1,11.1,31.5,13.3,4.7,3.1,0.6,0.4
RARIEDA,36930,68.1,3.2,26.7,3.4,6.5,30.7,11.3,3,2.4,0.5,0.3
KISUMU,296846,65,9.8,45.1,6.5,20,22,10.3,11.6,5.3,0.8,0.8
KISUMU EAST,61499,58.4,11.3,53.8,7.2,23.5,22.2,11.9,13.6,5.6,0.8,1
KISUMU CENTRAL,52163,63.8,23.6,66.8,9.6,45.7,19.7,9.2,29.1,11.6,1.3,1
KISUMU WEST,42785,63.2,8.9,44,6.6,18.5,18.9,9.4,10,5.1,0.8,0.9
SEME,29404,68.8,3.5,27.3,4.1,7.3,22.4,9.9,3.4,2.5,0.6,0.6
MUHORONI,36982,70.9,4,35.6,5.3,9.9,26.5,12.6,4.6,2.9,0.6,0.4
NYANDO,38460,65.2,5.3,36.8,5.6,11.3,29.8,10.4,6.4,3.3,0.7,0.6
NYAKACH,35553,70.7,4.2,32.7,5.2,8.6,15,8.1,4.3,3,0.7,0.4
HOMA BAY,260290,63,4.1,26.3,4.1,8.2,12.8,10.7,3.3,2.6,0.6,0.5
HOMA BAY,28471,64.5,9.1,39.4,5.3,15.4,14.2,12.4,7.9,4.4,0.7,0.5
NDHIWA,47956,62.6,2.4,19.4,3.3,5.4,13.1,11.3,1.5,1.7,0.5,0.4
RACHUONYO NORTH,41661,67.3,3.6,27.5,4.2,7.3,16,10.7,3.1,2.7,0.6,0.4
RACHUONYO EAST,27229,65,3.5,26.2,4.8,7.1,13.1,8.8,3,2.5,0.6,0.5
RACHUONYO SOUTH,30693,65,5.8,32.7,5.6,10.1,14.6,11.8,5.5,3.9,0.7,0.5
RANGWE,26983,63.6,2.9,22.7,3.7,6.8,14.1,11.2,2.2,2.2,0.6,0.5
SUBA NORTH,29662,61.2,4.1,27.8,3.9,10.1,9.8,10.3,3.1,2.1,0.5,0.5
SUBA SOUTH,27635,52.9,2.1,18.3,2.5,5.7,5.5,8.7,1.4,1.3,0.4,0.4
MIGORI,238133,59.8,4.2,28.1,3.9,9.1,11.5,13.2,3.6,2.9,0.6,0.4
AWENDO,27014,63,4.4,30.6,5.3,9.9,11.7,12.1,4.2,3,0.5,0.3
KURIA EAST,17267,56.7,2.9,20.4,3.1,6.8,12,14.5,0.9,2.4,0.8,0.5
KURIA WEST,39723,56.2,4.2,30.6,4.2,8.3,11.6,16.7,3.2,3.1,0.6,0.4
NYATIKE,39358,56.1,2.4,22.7,3,6.3,11.7,12.2,1.6,1.7,0.4,0.4
RONGO,29007,62.9,6.1,34.1,5.5,12.5,11.4,10.6,5.9,3.7,0.7,0.4
SUNA EAST,27214,63.5,6.6,32.7,3.3,14.5,12.1,13.5,6.3,3.9,0.8,0.3
SUNA WEST,28839,59.4,4.8,31.8,3.6,9,9.7,13.6,4.9,3.4,0.7,0.5
URIRI,29711,62.1,2.7,20.9,3.3,6.2,12.3,12.3,2.1,2.1,0.5,0.4
KISII,307254,58.5,5,30.7,5.1,8.8,3.5,7.8,3.1,3.4,0.6,0.3
ETAGO,18610,55.3,1.7,16.2,3.3,4.7,3.3,9.8,0.6,1.5,0.6,0.4
GUCHA,19621,59,5,29.3,5.2,8,2.4,7.9,2.1,3.3,0.7,0.3
GUCHASOUTH,19627,58.6,3.8,24.8,4.5,7.6,3.7,8.5,1.9,2.4,0.6,0.4
KENYENYA,30985,59.3,2.6,22.6,4.2,5.2,2.3,8.2,1,2.1,0.5,0.3
KISII CENTRAL,44037,55.1,9.5,43.7,6.1,16.1,3.8,7.1,6.3,5.5,0.6,0.2
KISII SOUTH,31574,61,4.9,36.1,5.5,8.4,6.4,10,4,4.1,0.7,0.3
KITUTU CENTRAL,41233,55.4,10.1,45.9,6.6,17.2,5.2,8.1,7.9,6,0.8,0.2
MARANI,26133,58.3,2.2,22.5,5.3,4.2,3,6,1,1.9,0.5,0.3
MASABA SOUTH,29206,62.8,2.9,24.6,4.3,5,3,6.8,1.3,2.8,0.4,0.3
NYAMACHE,30583,60.1,2.2,22.6,3.9,3.7,1.9,6.4,1,2.1,0.5,0.3
SAMETA,15645,61.5,3,27,5.2,5.4,2,6.8,1.4,2.6,0.4,0.3
NYAMIRA,150499,62.7,3.7,30.3,5.1,7.3,3.9,8.3,2,3.4,0.7,0.3
BORABU,19404,63.4,4.7,32.6,5.7,11.1,4.5,9.2,3.5,5.4,0.9,0.3
MANGA,23836,66.5,3.8,30.7,6.3,6.2,3.5,7.5,1.7,2.8,0.7,0.2
MASABA NORTH,27904,65.7,3.5,28.2,5.5,7.3,4.2,7.9,1.6,3,0.6,0.4
NYAMIRA NORTH,40396,58.8,2.9,27.5,4.1,5.6,4,8.5,1.2,2.7,0.8,0.3
NYAMIRA SOUTH,38959,61.7,4.3,33.2,4.9,7.9,3.6,8.2,2.4,3.6,0.7,0.3
NAIROBI CITY,1494676,53.4,22.7,68.7,7.5,42.1,12.5,4.3,23.5,12.9,1.2,0.4
DAGORETTI,154949,47.6,17.4,66.5,7.7,37.8,12,5.5,16.2,8,0.9,0.5
EMBAKASI,346462,53.6,23.5,69.9,7.9,43.8,12.1,4,22.9,11.5,1.2,0.4
KAMUKUNJI,83680,41.1,13.2,60.6,6.5,39.4,7.4,3,21.8,6.7,0.8,0.4
KASARANI,268611,54.1,25.3,72.8,7.3,46.3,12.2,4.6,24,11.9,1.2,0.4
KIBRA,61651,60.3,18,62.6,7.2,31,10.4,3.3,17.3,9.4,0.8,0.4
LANG'ATA,60187,51.6,45.3,70.1,8.2,59.7,22.3,4.1,49.5,35.9,2.6,0.5
MAKADARA,70080,54.9,18.8,65.3,7.1,38,11.2,3.3,20,9.9,1,0.4
MATHARE,74967,55.2,7,59.1,8,23.8,7.1,3.6,5.9,2.6,0.6,0.4
NJIRU,204492,59.5,16.7,72.7,7.9,35.2,13.4,5.1,19.4,10.6,1.2,0.4
STAREHE,66108,48.1,29.4,63.5,6.1,49.7,11.4,3.2,32.6,16.9,1.3,0.5
WESTLANDS,103489,54.9,39.8,71.9,6.7,55.1,18.5,4.4,42,32.8,2,0.5
