,Sub-County3/Sex1,Total,Working,Seeking Work/No Work Available,Persons outside the Labour Force2,Not Stated
567,Male,27300,14769,3825,8704,2
568,Female,27175,14403,3786,8984,2
569,TURKANA SOUTH,112506,49922,20696,41808,80
570,Male,57489,26038,11317,20094,40
571,Female,55014,23882,9379,21713,40
572,TURKANA WEST,176268,52786,39852,83345,285
573,Male,91544,27831,20569,43010,134
574,Female,84722,24954,19282,40335,151
575,WEST POKOT,478369,230760,16822,230692,95
576,Male,235507,109946,9330,116188,43
577,Female,242851,120810,7492,114497,52
578,KIPKOMO,81103,32462,1969,46672,-
579,Male,40082,15362,1162,23558,-
580,Female,41015,17098,807,23110,-
581,POKOT CENTRAL,96554,47409,3345,45784,16
582,Male,48335,23146,1953,23230,6
583,Female,48218,24262,1392,22554,10
584,POKOT NORTH,106842,67800,5195,33794,53
585,Male,51183,31801,2627,16733,22
586,Female,55657,35998,2568,17060,31
587,POKOT SOUTH,66296,25804,1097,39395,-
588,Male,32516,12034,675,19807,-
589,Female,33778,13770,422,19586,-
590,WEST POKOT,127574,57285,5216,65047,26
591,Male,63391,27603,2913,32860,15
592,Female,64183,29682,2303,32187,11
593,SAMBURU,217885,129684,9969,78207,25
594,Male,110117,64152,5488,40467,10
595,Female,107764,65530,4481,37738,15
596,SAMBURU CENTRAL,109516,59257,4505,45736,18
597,Male,55829,29253,2473,24096,7
598,Female,53685,30002,2032,21640,11
599,SAMBURU EAST,56501,35992,3035,17473,1
600,Male,27326,17114,1583,8629,-
601,Female,29175,18878,1452,8844,1
602,SAMBURU NORTH,51868,34435,2429,14998,6
603,Male,26962,17785,1432,7742,3
604,Female,24904,16650,997,7254,3
605,TRANS NZOIA,703122,296459,27354,379269,40
606,Male,345971,141638,16577,187738,18
607,Female,357134,154815,10776,191521,22
608,TRANS NZOIA WEST,107547,45636,3769,58129,13
609,Male,53103,21775,2307,29016,5
610,Female,54442,23861,1461,29112,8
611,TRANS NZOIA EAST,199879,85526,7189,107153,11
612,Male,98290,40894,4363,53029,4
613,Female,101582,44630,2826,54119,7
614,KWANZA,139528,57290,6337,75894,7
615,Male,68456,27120,3715,37617,4
616,Female,71069,30168,2622,38276,3
617,ENDEBESS,95631,41129,3360,51140,2
618,Male,47979,20536,1997,25445,1
619,Female,47649,20592,1363,25693,1
620,KIMININI,160537,66878,6699,86953,7
621,Male,78143,31313,4195,42631,4
622,Female,82392,35564,2504,44321,3
623,UASIN GISHU,573675,261161,23250,289196,68
624,Male,286563,127431,14753,144346,33
625,Female,287104,133725,8497,144847,35
626,AINABKOI,69935,32689,2802,34441,3
627,Male,34989,16059,1812,17117,1
628,Female,34946,16630,990,17324,2
629,KAPSERET,39206,18204,1860,19127,15
630,Male,19596,8954,1172,9465,5
631,Female,19610,9250,688,9662,10
632,KESSES,112212,51308,4413,56482,9
633,Male,56073,24853,2870,28345,5
634,Female,56136,26453,1543,28136,4
635,MOIBEN,93923,43905,3262,46753,3
636,Male,47106,21664,2096,23345,1
637,Female,46816,22240,1166,23408,2
638,SOY,151678,66574,5930,79147,27
639,Male,75115,31702,3744,39652,17
640,Female,76561,34871,2186,39494,10
641,TURBO,106721,48481,4983,53246,11
642,Male,53684,24199,3059,26422,4
643,Female,53035,24281,1924,26823,7
644,ELGEYO/MARAKWET,374788,165035,13742,195957,54
645,Male,187532,81253,9188,97067,24
646,Female,187248,83778,4554,98886,30
647,KEIYO NORTH,75105,33642,3360,38088,15
648,Male,37681,16680,2258,18737,6
649,Female,37423,16962,1102,19350,9
650,KEIYO SOUTH,105955,49312,3293,53332,18
651,Male,53433,24419,2242,26764,8
652,Female,52519,24891,1051,26567,10
653,MARAKWET EAST,82462,32787,3621,46053,1
654,Male,40560,15833,2225,22501,1
655,Female,41900,16953,1396,23551,-
656,MARAKWET WEST,111266,49294,3468,58484,20
657,Male,55858,24321,2463,29065,9
658,Female,55406,24972,1005,29418,11
659,NANDI,726576,342199,21514,362783,80
660,Male,361490,166322,13333,181789,46
661,Female,365068,175864,8181,180989,34
662,CHESUMEI,123212,57667,5167,60374,4
663,Male,60830,27491,3329,30007,3
664,Female,62379,30174,1838,30366,1
665,NANDI CENTRAL,108546,51014,3655,53877,-
666,Male,53556,24462,2191,26903,-
667,Female,54986,26549,1464,26973,-
668,NANDI EAST,97711,45854,3474,48342,41
669,Male,49157,23241,2025,23870,21
670,Female,48551,22610,1449,24472,20
671,NANDI NORTH,144637,66465,3756,74402,14
672,Male,71676,31709,2501,37457,9
673,Female,72958,34755,1255,36943,5
674,NANDI SOUTH,151611,73122,3461,75020,8
675,Male,75037,35286,2118,37629,4
676,Female,76571,37833,1343,37391,4
677,TINDERET,100859,48077,2001,50768,13
678,Male,51234,24133,1169,25923,9
679,Female,49623,23943,832,24844,4
680,BARINGO,504271,244934,23029,236269,39
681,Male,254645,120953,13984,119691,17
682,Female,249616,123978,9044,116572,22
683,BARINGO CENTRAL,64972,28948,3043,32980,1
684,Male,32303,14019,1922,16362,-
685,Female,32669,14929,1121,16618,1
686,BARINGO NORTH,89478,39693,3411,46371,3
687,Male,44506,18960,2100,23445,1
688,Female,44970,20732,1310,22926,2
689,EAST POKOT,67191,40139,4075,22972,5
690,Male,33897,19900,2260,11735,2
691,Female,33292,20239,1815,11235,3
692,KOIBATEK,84273,41270,2218,40781,4
693,Male,42624,20709,1400,20513,2
694,Female,41647,20561,818,20266,2
695,MARIGAT,66750,26892,2540,37308,10
696,Male,33477,12844,1582,19045,6
697,Female,33270,14046,958,18262,4
698,MOGOTIO,70336,30694,2710,36931,1
699,Male,35642,15120,1801,18720,1
700,Female,34693,15574,909,18210,-
701,TIATY EAST,61271,37298,5032,18926,15
702,Male,32196,19401,2919,9871,5
703,Female,29075,17897,2113,9055,10
704,LAIKIPIA,339798,183394,13184,143195,25
705,Male,170128,90019,8195,71906,8
706,Female,169663,93373,4988,71285,17
707,LAIKIPIA CENTRAL,61386,35291,1723,24361,11
708,Male,31252,17580,1180,12490,2
709,Female,30134,17711,543,11871,9
710,LAIKIPIA EAST,54171,28696,3275,22200,-
711,Male,27154,14383,1915,10856,-
712,Female,27014,14312,1360,11342,-
713,LAIKIPIA NORTH,29383,16029,1401,11952,1
714,Male,14627,7767,801,6059,-
715,Female,14755,8261,600,5893,1
716,LAIKIPIA WEST,97764,52890,3800,41063,11
717,Male,49120,26114,2378,20622,6
718,Female,48642,26776,1421,20440,5
719,NYAHURURU,97094,50488,2985,43619,2
720,Male,47975,24175,1921,21879,-
721,Female,49118,26313,1064,21739,2
722,NAKURU,968762,480262,29168,459182,150
723,Male,485569,235683,18800,231010,76
724,Female,483169,244570,10367,228158,74
725,GILGIL,96019,49708,2677,43623,11
726,Male,47797,24192,1759,21841,5
727,Female,48218,25515,917,21780,6
728,KURESOI NORTH,141429,68572,2883,69961,13
729,Male,70628,33244,1809,35569,6
730,Female,70798,35327,1074,34390,7
731,KURESOI SOUTH,125815,59731,1940,64141,3
732,Male,63280,29161,1259,32859,1
733,Female,62533,30569,681,31281,2
734,MOLO,73333,37095,1593,34644,1
735,Male,36855,18310,1054,17491,-
736,Female,36476,18785,539,17151,1
737,NAIVASHA,116737,59143,5497,52076,21
738,Male,59948,30616,3524,25797,11
739,Female,56787,28525,1973,26279,10
740,NAKURU EAST,-,-,-,-,-
741,Male,-,-,-,-,-
742,Female,-,-,-,-,-
743,NAKURU NORTH,58661,30231,2346,26040,44
744,Male,29067,14854,1470,12716,27
745,Female,29589,15375,876,13321,17
746,NAKURU WEST,-,-,-,-,-
747,Male,-,-,-,-,-
748,Female,-,-,-,-,-
749,NJORO,153084,75298,4183,73585,18
750,Male,76060,35999,2714,37339,8
751,Female,77022,39297,1469,36246,10
752,RONGAI,139434,66628,6772,66015,19
753,Male,70170,33255,4321,32586,8
754,Female,69261,33373,2451,33426,11
755,SUBUKIA,64250,33856,1277,29097,20
756,Male,31764,16052,890,14812,10
757,Female,32485,17804,387,14284,10
758,NAROK,877207,422305,18025,436727,150
759,Male,437317,205384,10823,221021,89
760,Female,439872,216907,7201,215703,61
761,NAROK EAST,89593,44216,2258,43113,6
762,Male,45823,22617,1337,21865,4
763,Female,43763,21592,921,21248,2
764,NAROK NORTH,155507,77719,3491,74264,33
765,Male,79604,40291,2251,37040,22
766,Female,75898,37424,1240,37223,11
767,NAROK SOUTH,189833,98064,2766,88980,23
768,Male,94196,47124,1791,45270,11
769,Female,95636,50939,975,43710,12
770,NAROK WEST,156729,74175,5400,77120,34
771,Male,76513,33958,2838,39695,22
772,Female,80214,40217,2561,37424,12
773,TRANS MARA EAST,95013,41127,1069,52799,18
774,Male,46374,18658,702,27003,11
775,Female,48638,22469,367,25795,7
776,TRANS MARA WEST,190500,86974,3041,100449,36
777,Male,94779,42708,1904,50148,19
778,Female,95719,44264,1137,50301,17
779,MAU FOREST,32,30,-,2,-
780,Male,28,28,-,-,-
781,Female,4,2,-,2,-
782,KAJIADO,411653,193486,22331,195746,90
783,Male,207455,97543,12587,97285,40
784,Female,204186,95940,9744,98452,50
785,ISINYA,32564,16080,3045,13413,26
786,Male,17873,9762,1722,6377,12
787,Female,14690,6318,1323,7035,14
788,KAJIADO CENTRAL,92607,41302,3274,48019,12
789,Male,46428,20158,1991,24277,2
790,Female,46176,21143,1283,23740,10
791,KAJIADO NORTH,91,61,3,27,-
792,Male,51,37,3,11,-
793,Female,40,24,-,16,-
794,KAJIADO WEST,111900,53069,6527,52269,35
795,Male,55828,26020,3675,26119,14
796,Female,56069,27049,2852,26147,21
797,LOITOKITOK,132057,62551,7353,62138,15
798,Male,65183,30740,3829,30603,11
799,Female,66870,31809,3524,31533,4
800,MASHUURU,42434,20423,2129,19880,2
801,Male,22092,10826,1367,9898,1
802,Female,20341,9597,762,9981,1
803,KERICHO,708412,350181,17006,341050,175
804,Male,352306,169699,10670,171855,82
805,Female,356086,180472,6336,169185,93
806,BELGUT,127488,64327,3951,59197,13
807,Male,63590,32058,2368,29157,7
808,Female,63898,32269,1583,30040,6
809,BURETI,161545,79663,3142,78727,13
810,Male,79843,38486,2012,39339,6
811,Female,81697,41174,1130,39386,7
812,KERICHO EAST,96348,48302,2540,45468,38
813,Male,48104,23468,1671,22948,17
814,Female,48241,24831,869,22520,21
815,KIPKELION,103821,51812,1819,50128,62
816,Male,51700,24832,1164,25672,32
817,Female,52118,26978,655,24455,30
818,LONDIANI,112799,54667,3034,55067,31
819,Male,56009,26138,1925,27933,13
820,Female,56782,28527,1109,27128,18
821,SOIN SIGOWET,106411,51410,2520,52463,18
822,Male,53060,24717,1530,26806,7
823,Female,53350,26693,990,25656,11
824,BOMET,739421,349993,14927,374434,67
825,Male,365151,165316,9343,190456,36
826,Female,374252,184668,5584,183969,31
827,BOMET EAST,120901,55801,2712,62366,22
828,Male,59212,25117,1794,32289,12
829,Female,61685,30681,918,30076,10
830,CHEPALUNGU,142990,63753,2130,77100,7
831,Male,68860,28061,1439,39357,3
832,Female,74126,35691,691,37740,4
833,KONOIN,142007,69263,3764,68968,12
834,Male,72250,35499,2175,34568,8
835,Female,69754,33763,1589,34398,4
836,SOTIK,193104,91239,3338,98515,12
837,Male,94708,42688,2070,49944,6
838,Female,98392,48549,1268,48569,6
839,BOMET CENTRAL,140419,69937,2983,67485,14
840,Male,70121,33951,1865,34298,7
841,Female,70295,35984,1118,33186,7
842,KAKAMEGA,1475035,665777,38264,770658,336
843,Male,703359,300461,23892,378855,151
844,Female,771648,365305,14372,391786,185
845,BUTERE,128827,58272,3076,67471,8
846,Male,61433,26417,2010,33001,5
847,Female,67392,31854,1066,34469,3
848,KAKAMEGA CENTRAL,72409,35668,1576,35154,11
849,Male,35031,17043,1082,16902,4
850,Female,37377,18625,494,18251,7
851,KAKAMEGA EAST,143802,66196,5457,71996,153
852,Male,68753,29897,3393,35398,65
853,Female,75045,36298,2064,36595,88
854,KAKAMEGA NORTH,202402,92188,4123,106050,41
855,Male,97786,42609,2527,52632,18
856,Female,104611,49578,1596,53414,23
857,KAKAMEGA SOUTH,98200,44976,2971,50237,16
858,Male,46419,19999,1966,24445,9
859,Female,51781,24977,1005,25792,7
860,KHWISERO,99683,46901,1920,50852,10
861,Male,46827,20747,1247,24829,4
862,Female,52854,26153,673,26022,6
863,LIKUYANI,126091,52953,5588,67537,13
864,Male,60866,24240,3424,33193,9
865,Female,65224,28713,2164,34343,4
866,LUGARI,106758,49764,3232,53755,7
867,Male,51266,22567,2037,26659,3
868,Female,55492,27197,1195,27096,4
869,MATETE,57744,24663,1768,31313,-
870,Male,27582,11081,993,15508,-
871,Female,30162,13582,775,15805,-
872,MATUNGU,144003,62593,3349,78040,21
873,Male,67660,27510,2014,38125,11
874,Female,76340,35082,1335,39913,10
875,MUMIAS EAST,90526,39839,1911,48769,7
876,Male,43152,17823,1112,24214,3
877,Female,47371,22015,799,24553,4
878,MUMIAS WEST,70377,31046,1463,37841,27
879,Male,33193,13521,895,18766,11
880,Female,37183,17524,568,19075,16
881,NAVAKHOLO,134213,60718,1830,71643,22
882,Male,63391,27007,1192,35183,9
883,Female,70816,33707,638,36458,13
884,VIHIGA,471601,225737,12586,233201,77
885,Male,225938,102736,8164,114997,41
886,Female,245654,122997,4421,118200,36
887,EMUHAYA,84340,40405,2332,41586,17
888,Male,40210,18133,1541,20527,9
889,Female,44129,22272,790,21059,8
890,VIHIGA,67475,33540,1312,32614,9
891,Male,32244,15066,896,16274,8
892,Female,35229,18472,416,16340,1
893,SABATIA,96959,48306,2074,46564,15
894,Male,46239,21850,1330,23054,5
895,Female,50719,26456,744,23509,10
896,LUANDA,84004,39804,2874,41299,27
897,Male,40437,18402,1820,20201,14
898,Female,43565,21400,1054,21098,13
899,HAMISI,138807,63668,3993,71137,9
900,Male,66796,29273,2577,34941,5
901,Female,72008,34395,1416,36193,4
902,KAKAMEGA FOREST,16,14,1,1,-
903,Male,12,12,-,-,-
904,Female,4,2,1,1,-
905,BUNGOMA,1281539,558664,30692,692066,117
906,Male,621083,256536,19278,345205,64
907,Female,660430,302119,11413,346845,53
908,BUMULA,187281,82608,4150,100521,2
909,Male,89237,36793,2535,49907,2
910,Female,98043,45815,1615,50613,-
911,BUNGOMA CENTRAL,145615,67310,2707,75594,4
912,Male,70586,31192,1807,37584,3
913,Female,75022,36115,899,38007,1
914,BUNGOMA EAST,82002,35499,1872,44610,21
915,Male,39655,16084,1144,22416,11
916,Female,42346,19414,728,22194,10
917,BUNGOMA NORTH,105163,44799,2611,57740,13
918,Male,50746,20340,1567,28832,7
919,Female,54416,24459,1044,28907,6
920,BUNGOMA SOUTH,190224,80417,6884,102918,5
921,Male,92065,37543,4261,50258,3
922,Female,98156,42873,2623,52658,2
923,CHEPTAIS,111539,48670,2181,60674,14
924,Male,55577,23190,1349,31029,9
925,Female,55957,25478,832,29642,5
926,KIMILILI,92228,37818,3215,51192,3
927,Male,44445,17252,1951,25241,1
928,Female,47781,20565,1264,25950,2
929,MT ELGON,61809,26522,1039,34241,7
930,Male,30546,12638,704,17200,4
931,Female,31261,13883,335,17040,3
932,BUNGOMA WEST,101981,46509,1787,53659,26
933,Male,49381,21392,1112,26865,12
934,Female,52599,25117,675,26793,14
935,TONGAREN,87309,36835,2520,47938,16
936,Male,42193,16522,1722,23941,8
937,Female,45115,20313,798,23996,8
938,WEBUYE WEST,113415,50357,1710,61342,6
939,Male,55106,22915,1115,31072,4
940,Female,58307,27442,595,30268,2
941,MT. ELGON FOREST,2973,1320,16,1637,-
942,Male,1546,675,11,860,-
943,Female,1427,645,5,777,-
944,BUSIA,679568,310725,15422,353378,43
945,Male,321126,138205,9270,173632,19
946,Female,358417,172513,6152,179728,24
947,BUNYALA,64804,29268,1729,33800,7
948,Male,31007,13456,944,16604,3
949,Female,33796,15812,785,17195,4
950,BUSIA,87395,39167,2698,45523,7
951,Male,41616,17731,1655,22226,4
952,Female,45778,21436,1043,23296,3
953,BUTULA,121531,54816,2790,63922,3
954,Male,55831,23089,1614,31126,2
955,Female,65697,31725,1176,32795,1
956,NAMBALE,93894,41875,1993,50018,8
957,Male,44314,18717,1213,24381,3
958,Female,49577,23156,780,25636,5
959,SAMIA,90297,42024,2172,46101,-
960,Male,42600,18531,1362,22707,-
961,Female,47683,23491,810,23382,-
962,TESO NORTH,102718,47747,2017,52950,4
963,Male,49180,21639,1214,26325,2
964,Female,53537,26108,803,26624,2
965,TESO SOUTH,118929,55828,2023,61064,14
966,Male,56578,25042,1268,30263,5
967,Female,62349,30785,755,30800,9
968,SIAYA,795024,380269,18168,396307,280
969,Male,374905,168216,10358,196192,139
970,Female,420105,212043,7809,200112,141
971,SIAYA,167388,81756,3314,82219,99
972,Male,77979,35537,2053,40342,47
973,Female,89405,46216,1261,41876,52
974,GEM,154832,75702,2816,76247,67
975,Male,73323,33585,1728,37973,37
976,Female,81506,42116,1087,38273,30
977,UGENYA,113652,53859,2234,57555,4
978,Male,52588,22620,1278,28687,3
979,Female,61061,31236,956,28868,1
980,UGUNJA,84405,40899,1719,41778,9
981,Male,39334,17712,948,20669,5
982,Female,45071,23187,771,21109,4
983,BONDO,144865,68014,4555,72256,40
984,Male,70200,32156,2414,35611,19
985,Female,74663,35857,2141,36644,21
986,RARIEDA,129882,60039,3530,66252,61
987,Male,61481,26606,1937,32910,28
988,Female,68399,33431,1593,33342,33
989,KISUMU,625384,273120,21664,330458,142
990,Male,299443,124441,12707,162226,69
991,Female,325935,148675,8956,168231,73
992,KISUMU EAST,47373,19928,2598,24838,9
993,Male,22782,9633,1564,11583,2
994,Female,24590,10294,1034,13255,7
995,KISUMU CENTRAL,-,-,-,-,-
996,Male,-,-,-,-,-
997,Female,-,-,-,-,-
998,KISUMU WEST,95785,42625,3978,49166,16
999,Male,46146,19713,2338,24089,6
1000,Female,49638,22911,1640,25077,10
1001,SEME,106470,47724,2243,56492,11
1002,Male,50090,20710,1405,27970,5
1003,Female,56379,27013,838,28522,6
1004,MUHORONI,124014,56106,3845,64044,19
1005,Male,61148,27062,2293,31781,12
1006,Female,62865,29044,1552,32262,7
1007,NYANDO,125607,53871,4673,67025,38
1008,Male,59848,24326,2700,32802,20
1009,Female,65758,29544,1973,34223,18
1010,NYAKACH,126135,52866,4327,68893,49
1011,Male,59429,22997,2407,34001,24
1012,Female,66705,29869,1919,34892,25
1013,HOMA BAY,875773,377888,22066,475752,67
1014,Male,414023,164507,12290,237194,32
1015,Female,461733,213371,9775,238552,35
1016,HOMA BAY,55479,23858,1062,30559,-
1017,Male,26082,10144,615,15323,-
1018,Female,29397,13714,447,15236,-
1019,NDHIWA,180027,79480,3417,97118,12
1020,Male,84890,34155,2004,48725,6
1021,Female,95131,45322,1412,48391,6
1022,RACHUONYO NORTH,150158,65863,3926,80351,18
1023,Male,71159,28999,2207,39944,9
1024,Female,78995,36860,1719,40407,9
1025,RACHUONYO EAST,105522,45566,2076,57878,2
1026,Male,49596,19294,1254,29047,1
1027,Female,55924,26271,822,28830,1
1028,RACHUONYO SOUTH,96266,42293,2114,51858,1
1029,Male,44976,18017,1234,25724,1
1030,Female,51290,24276,880,26134,-
1031,RANGWE,101323,42651,2645,56012,15
1032,Male,47099,17738,1348,28008,5
1033,Female,54221,24912,1297,28002,10
1034,SUBA NORTH,94937,39782,3979,51171,5
1035,Male,45863,18433,2236,25191,3
1036,Female,49074,21349,1743,25980,2
1037,SUBA SOUTH,92061,38395,2847,50805,14
1038,Male,44358,17727,1392,25232,7
1039,Female,47701,20667,1455,25572,7
1040,MIGORI,807279,344162,23327,439598,192
1041,Male,385415,153458,13291,218579,87
1042,Female,421835,190692,10034,221004,105
1043,AWENDO,86008,37767,1854,46359,28
1044,Male,40846,16536,1169,23128,13
1045,Female,45160,21230,685,23230,15
1046,KURIA EAST,81510,35412,2359,43711,28
1047,Male,39331,15981,1317,22022,11
1048,Female,42172,19428,1042,21685,17
1049,KURIA WEST,137910,59177,4431,74265,37
1050,Male,66594,27102,2468,37011,13
1051,Female,71311,32073,1962,37252,24
1052,NYATIKE,138898,55802,5715,77354,27
1053,Male,65631,24570,3110,37936,15
1054,Female,73260,31229,2605,39414,12
1055,RONGO,89695,37912,2504,49271,8
1056,Male,42505,16568,1460,24475,2
1057,Female,47189,21344,1044,24795,6
1058,SUNA EAST,79824,35163,1761,42875,25
1059,Male,38184,15753,1001,21416,14
1060,Female,41637,19409,760,21457,11
1061,SUNA WEST,72405,30363,2001,40036,5
1062,Male,34297,13355,1269,19670,3
1063,Female,38107,17007,732,20366,2
1064,URIRI,121029,52566,2702,65727,34
1065,Male,58027,23593,1497,32921,16
1066,Female,62999,28972,1204,32805,18
1067,KISII,987143,450445,32299,504275,124
1068,Male,467664,199424,19596,248589,55
1069,Female,519454,251013,12700,255672,69
1070,ETAGO,73492,31267,1735,40485,5
1071,Male,35023,13847,1101,20073,2
1072,Female,38466,17419,634,20410,3
1073,GUCHA,70288,32164,1920,36183,21
1074,Male,32995,14117,1125,17744,9
1075,Female,37292,18046,795,18439,12
1076,GUCHA SOUTH,71413,31728,2360,37293,32
1077,Male,33999,14038,1357,18587,17
1078,Female,37411,17688,1003,18705,15
1079,KENYENYA,107774,48712,3257,55799,6
1080,Male,51150,21585,1995,27567,3
1081,Female,56622,27126,1262,28231,3
1082,KISII CENTRAL,99028,46289,3964,48768,7
1083,Male,47432,21131,2420,23878,3
1084,Female,51595,25158,1544,24889,4
1085,KISII SOUTH,107610,47382,4291,55936,1
1086,Male,51225,21456,2682,27086,1
1087,Female,56380,25926,1608,28846,-
1088,KITUTU CENTRAL,84349,36613,3988,43731,17
1089,Male,40328,16719,2429,21172,8
1090,Female,44021,19894,1559,22559,9
1091,MARANI,95168,45177,2927,47045,19
1092,Male,44453,19248,1755,23442,8
1093,Female,50714,25929,1172,23602,11
1094,MASABA SOUTH,104685,50324,2571,51785,5
1095,Male,49249,21837,1533,25877,2
1096,Female,55433,28485,1038,25907,3
1097,NYAMACHE,113966,53108,3469,57380,9
1098,Male,53830,23111,2093,28625,1
1099,Female,60134,29996,1375,28755,8
1100,SAMETA,59370,27681,1817,29870,2
1101,Male,27980,12335,1106,14538,1
1102,Female,31386,15346,710,15329,1
1103,NYAMIRA,497702,233371,15839,248448,44
1104,Male,237697,105371,9974,122334,18
1105,Female,259994,127997,5865,126106,26
1106,BORABU,58163,27036,2498,28623,6
1107,Male,29228,13417,1474,14335,2
1108,Female,28935,13619,1024,14288,4
1109,MANGA,82435,38833,3172,40419,11
1110,Male,38978,17223,2072,19679,4
1111,Female,43456,21610,1100,20739,7
1112,MASABA NORTH,92815,43211,2590,47007,7
1113,Male,43588,18995,1651,22939,3
1114,Female,49225,24215,939,24067,4
1115,NYAMIRA NORTH,147609,68657,4686,74263,3
1116,Male,70467,30857,2962,36646,2
1117,Female,77137,37799,1724,37613,1
1118,NYAMIRA SOUTH,116680,55634,2893,58136,17
1119,Male,55436,24879,1815,28735,7
1120,Female,61241,30754,1078,29399,10
